Año,Tipo_de_delito,Modalidad,Sexo,Rango_de_edad,Mes,Numero_registros
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Mujer,Adultos (18 y más),Enero,11
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Mujer,No especificado,Enero,19
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Hombre,Menores de edad (0-17),Enero,50
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Hombre,Adultos (18 y más),Enero,11
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Hombre,No especificado,Enero,19
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,No identificado,No identificado,Enero,3
2023,Secuestro,Secuestro extorsivo,Mujer,Menores de edad (0-17),Febrero,6
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Mujer,Menores de edad (0-17),Febrero,30
2023,Secuestro,Secuestro extorsivo,Mujer,Adultos (18 y más),Febrero,11
2023,Secuestro,Secuestro exprés,Mujer,Adultos (18 y más),Febrero,1
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Mujer,Adultos (18 y más),Febrero,14
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Mujer,No especificado,Febrero,12
2023,Secuestro,Secuestro extorsivo,Hombre,Menores de edad (0-17),Febrero,10
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Hombre,Menores de edad (0-17),Febrero,35
2023,Secuestro,Secuestro extorsivo,Hombre,Adultos (18 y más),Febrero,10
2023,Secuestro,Secuestro exprés,Hombre,Adultos (18 y más),Febrero,1
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Hombre,Adultos (18 y más),Febrero,18
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Hombre,No especificado,Febrero,26
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,No identificado,No identificado,Febrero,4
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Mujer,Menores de edad (0-17),Marzo,33
2023,Secuestro,Secuestro extorsivo,Mujer,Adultos (18 y más),Marzo,1
2023,Rapto,Rapto,Mujer,Adultos (18 y más),Marzo,1
2023,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Mujer,Adultos (18 y más),Marzo,21
